"NPV","Cashflow1","Cashflow2","Cashflow3","Cashflow4","Cashflow5","Cashflow6","Cashflow7","Cashflow8","Cashflow9","Cashflow10","Cashflow11","Cashflow12"
116091.288354506,-7712.42029248239,11225.1093640413,11268.3508243526,10807.221209034,11239.2788821854,11422.6395989813,11334.3827703015,11385.1654521933,11393.5513896888,11481.393240604,11330.9596905369,11288.80810618
119236.274084744,-9050.49738793659,11696.6059014617,11301.59283877,11509.4177883542,11931.1775952078,11503.2761539273,11631.6438244558,11966.8696345514,11827.178333328,11993.257550768,11956.4450044625,11355.7997481696
140394.605869525,-7781.8189675218,13844.6678611965,13696.3555536384,13774.2098036389,13828.1798472251,13261.1530287936,13730.3622052289,13040.7095633222,13215.2597312592,13191.4727351025,13214.9783841056,13821.3564719319
-232737.442139546,-37507.64860768,-18116.5098267499,-17627.1064119802,-17612.5079832592,-17596.5970224374,-18271.8184108441,-17758.7902959109,-17677.0865447203,-17635.8740771812,-17669.7011437689,-18194.0380337075,-17655.7503640177
356732.1657198,12298.3782837583,31479.2188927211,31477.798012051,31697.6900400887,31266.5305738022,30935.7924325453,31596.1364035423,31469.0487104041,31764.9111022351,31440.2274778983,31047.8388764787,31291.8080286069
376709.637427283,13285.428294153,33214.4808231917,32724.5383507593,33282.3670291076,33352.0873948555,33242.4154456997,33233.6893148347,33304.0323713429,32756.3741753971,33286.5767409704,33332.0257293734,32786.3899937971
107257.787060107,-8369.35356936984,10679.3014143167,10772.2089555177,10190.1367083767,9982.82380858244,10775.65722545,10744.2823492726,10235.8482051317,10526.0646707715,10537.9050287112,10744.8143364341,10786.274379623
-196766.285333547,-33540.2278580991,-14830.8289749669,-15242.5666265109,-14772.902925148,-15187.7624682123,-14832.5214845407,-14733.8817917353,-14867.7490613924,-14569.9753105631,-14722.12857765,-14680.3163486588,-15274.8182987258
36172.3164718242,-14033.6030292367,4603.54952087804,4758.76602509967,4665.84533886857,4299.58077215439,4642.68904500638,4590.25192841976,4323.05574542732,4332.02276649995,4813.18022099864,4674.22693998815,4653.54301201376
-58665.6485314679,-23494.1133052763,-3168.92816001771,-3155.06293953707,-3088.09790711801,-3101.84715066883,-3048.30059496597,-3073.50522440352,-3734.12905145581,-3106.31329959833,-3135.06823309563,-3558.21878635232,-3108.73989962713
245194.331678425,3796.88521453926,21883.0931610473,22217.6158707201,22223.5871410456,22192.5006142033,22194.2222843487,21757.8746811915,21572.5595935319,21594.5473462933,22325.0198656487,22109.5666147335,22051.1016213956
117366.117582143,-7710.97264969374,11718.7522299578,11536.9586835187,11633.4466584312,10917.3002407296,11160.9965027344,11520.4061572425,11516.3057992038,11042.7975017054,11029.8291149538,11587.0516876898,11788.4596006166
214458.930701555,24.9945285669819,19818.3076941507,19875.9748160236,19457.68531438,19016.4286878596,19176.2944626519,19802.6025722371,19164.4606344503,19815.2730099317,19916.3541241952,19817.1491470061,19217.1027413708
-108686.261586351,-27614.3660199815,-7626.53609745906,-7256.16494870033,-7282.01148908545,-7216.15729017245,-7742.25367385626,-7295.69347586932,-7707.76077890745,-7349.43670646026,-7303.5622086935,-7319.67504103436,-7215.31016199299
153371.958754964,-4848.20768780839,14468.6960655066,14233.3362578027,14619.8248959281,14037.5263751346,14426.4005069869,14628.1579716652,13979.5142109373,14590.9902213977,14685.8175246567,14364.0825808671,14662.0486809423
-22967.7978331293,-21260.7406850726,-573.618806196697,54.9158695340884,-135.138889625552,-40.5682283277274,-8.90846069910913,154.683763646943,-457.241040239918,-632.805815418389,21.9754947408001,-136.969991586782,42.0682966646855
109323.582211052,-8472.62752311915,10828.9711131637,10918.6398045544,11069.0787687823,10440.6694974807,10390.3318656486,10874.7736794092,10868.3890234088,10817.7283515457,10411.7917193264,10796.5195694951,10732.1428727124
195118.525679107,-1091.05332491524,18083.4311978115,17936.9855393464,17878.105970638,18030.7380897682,17647.2500243894,17983.9035050338,18030.378545734,18038.1238881717,17515.577002679,17921.2406276296,17731.7084711391
61346.4159010944,-13155.0708846568,6936.0486181878,6806.95701369632,6679.53985241331,6744.90070783579,6784.4286810362,6735.47996038994,6936.2909902745,6764.84265593336,6867.13077044726,6716.11739279284,6753.1791532269
151787.302873987,-5508.81026192642,14464.4871883798,14003.6101452201,14281.8012123236,14162.8994639848,14675.371891572,14396.2462310253,14436.3381870751,14379.6910032363,14622.4577703786,13943.4901886143,14402.3345698149
306826.105196311,7715.83906821329,26986.1970069579,26878.7784301948,27279.272213041,27536.0862858554,27554.7535684256,27431.3484057025,27461.7161643807,27249.0236390241,27308.8308742975,27304.2953157783,27018.6876648964
96669.6500530366,-8587.41133737849,9860.47167972598,9903.9544435701,9395.74258064982,9364.30293907919,9142.17266459238,9632.084804396,9359.94457775242,9873.63025716612,9359.70755793799,9846.32943697205,9835.13807624777
-175561.168841876,-31337.1881526563,-13021.8946462798,-13526.2964773715,-13531.8543521006,-12951.6743167943,-12930.4604255569,-12907.66239115,-13497.0254307873,-12985.1008271637,-12908.4259942759,-13481.1139822219,-12914.5270213379
-28646.7561376227,-21346.7279863975,-570.235585920171,-473.065400966152,-584.546109303774,-952.469876533913,-1095.87339273631,-1117.89895451215,-455.530560160274,-660.298541077616,-467.787102388982,-435.493123411296,-507.730982735644
184315.571047926,-1885.40351148482,17355.235309806,16986.9159811578,16821.983144655,17011.22452988,17074.5247880376,16978.3032976453,17050.6811882177,17029.3312937246,17147.9568210779,16246.5475188356,17055.60470707
48492.524769862,-13824.242494295,6090.002094757,5343.07239438646,5808.83050874792,5844.83210771816,5400.58081378671,5742.16911196202,5931.10067376592,5457.17136411415,5384.28630403039,5693.90527149285,5807.15741951354
