"variable","expected_gain","EVPI_do","EVPI_dont","EVPI","decision"
"battery_price",60440.467493575,0,60440.467493575,0,"do"
"bedding_price",59603.9830994701,0,59603.9830994701,0,"do"
"cleaning_price",53781.6144312737,0,53781.6144312737,0,"do"
"coop_invest",53367.9192258672,0,53367.9192258672,0,"do"
"cost_daily",59302.472708455,0,59302.472708455,0,"do"
"cost_hen",54277.9291126015,31.0997942841586,54309.0289068857,31.0997942841586,"do"
"cost_vet_visit",57887.1061620007,0,57887.1061620007,0,"do"
"cost_weekly",53443.1408932405,0,53443.1408932405,0,"do"
"costs_vaccin",53179.344076185,0,53179.344076185,0,"do"
"discount",57306.7048909479,918.582553527125,58225.287444475,918.582553527125,"do"
"discount_rate",NA,0,0,0,"do"
"egg_price",48890.0508245952,32067.6917780986,80957.7426026939,32067.6917780986,"do"
"egg_time",55133.3140236581,0,55133.3140236581,0,"do"
"eggs_per_hen",57265.84708842,0,57265.84708842,0,"do"
"feed_need",46390.6281407922,2191.85178580443,48582.4799265966,2191.85178580443,"do"
"feed_price",53341.6261447254,1158.31746205408,54499.9436067795,1158.31746205408,"do"
"fence_price",57724.319661911,0,57724.319661911,0,"do"
"hourly_wage",53399.9883686092,244.665907491702,53644.6542761009,244.665907491702,"do"
"interest_rate",58257.0212619336,828.272664903127,59085.2939268367,828.272664903127,"do"
"irregular_cost",55532.7103161128,0,55532.7103161128,0,"do"
"maintenance_coop",55320.1110802162,0,55320.1110802162,0,"do"
"marketable_share",58116.8970167626,337.220052392041,58454.1170691547,337.220052392041,"do"
"marketing_cost",56279.5460288136,0,56279.5460288136,0,"do"
"n_years",NA,0,0,0,"do"
"number_hens",57298.6876249862,328.492647580688,57627.1802725669,328.492647580688,"do"
"other_needs_price",55248.9071890946,0,55248.9071890946,0,"do"
"req_area",52601.820174657,0,52601.820174657,0,"do"
"revenue_hen",53137.1761508614,0,53137.1761508614,0,"do"
"survival_rate",51821.2738746908,1043.84068946267,52865.1145641535,1043.84068946267,"do"
"var_CV",58301.0203798426,0,58301.0203798426,0,"do"
"veterinary_price",52651.6140147819,0,52651.6140147819,0,"do"
