"variable","expected_gain","EVPI_do","EVPI_dont","EVPI","decision"
"apple_price",2467134.40101666,0,2467134.40101666,0,"do"
"orchard_area",NA,0,0,0,"do"
"battery_price",2467182.33192285,0,2467182.33192285,0,"do"
"bedding_price",2467833.59081094,0,2467833.59081094,0,"do"
"cleaning_price",2468126.45817531,0,2468126.45817531,0,"do"
"consumption_diesel_hour",2467189.58875456,0,2467189.58875456,0,"do"
"coop_invest",2467975.31601436,0,2467975.31601436,0,"do"
"cost_daily",2466900.37410458,0,2466900.37410458,0,"do"
"cost_fertilizer",2467519.17790199,0,2467519.17790199,0,"do"
"cost_fungicide",2467398.97297431,0,2467398.97297431,0,"do"
"cost_herbicide",2467926.95717533,0,2467926.95717533,0,"do"
"cost_hen",2467763.76396701,0,2467763.76396701,0,"do"
"cost_insecticide",2466959.62615784,0,2466959.62615784,0,"do"
"cost_tree",2468059.42253673,0,2468059.42253673,0,"do"
"cost_vet_visit",2467068.61451113,0,2467068.61451113,0,"do"
"cost_weekly",2468432.97384346,0,2468432.97384346,0,"do"
"costs_vaccin",2465708.61604298,0,2465708.61604298,0,"do"
"dead_trees",2264538.59286593,0,2264538.59286593,0,"do"
"diesel_price",2467671.19207213,0,2467671.19207213,0,"do"
"discount",2467441.57710015,0,2467441.57710015,0,"do"
"discount_rate",2448880.52758321,0,2448880.52758321,0,"do"
"egg_price",2467836.6000381,0,2467836.6000381,0,"do"
"egg_time",2467419.51981053,0,2467419.51981053,0,"do"
"eggs_per_hen",2467292.9128044,0,2467292.9128044,0,"do"
"feed_need",2467383.60707431,0,2467383.60707431,0,"do"
"feed_price",2467088.48836416,0,2467088.48836416,0,"do"
"fence_price",2466696.51695462,0,2466696.51695462,0,"do"
"harvest_tree",2465748.36988017,0,2465748.36988017,0,"do"
"hourly_wage",2467734.74543327,0,2467734.74543327,0,"do"
"interest_rate",2467726.70511346,0,2467726.70511346,0,"do"
"irregular_cost",2467002.62060543,0,2467002.62060543,0,"do"
"maintenance_coop",2466884.70923775,0,2466884.70923775,0,"do"
"marketable_share",2467721.50799784,0,2467721.50799784,0,"do"
"marketing_cost",2468366.45056074,0,2468366.45056074,0,"do"
"n_years",NA,0,0,0,"do"
"number_hens",NA,0,0,0,"do"
"other_needs_price",2467047.55249461,0,2467047.55249461,0,"do"
"planting_hours_tree",2466442.57722254,0,2466442.57722254,0,"do"
"req_area",2467846.40821784,0,2467846.40821784,0,"do"
"revenue_hen",2465729.37331962,0,2465729.37331962,0,"do"
"survival_rate",2435189.67470682,0,2435189.67470682,0,"do"
"trees_per_ha",2467418.09211408,0,2467418.09211408,0,"do"
"var_CV",2467382.52883607,0,2467382.52883607,0,"do"
"veterinary_price",2468250.4437524,0,2468250.4437524,0,"do"
"risk_influenca_flock",2397840.71516787,0,2397840.71516787,0,"do"
"chicken_insurance",2464391.71183395,0,2464391.71183395,0,"do"
"yearly_harvesting_hours",2467284.14654111,0,2467284.14654111,0,"do"
"yearly_mowing_hours",2468007.81470537,0,2468007.81470537,0,"do"
"yearly_weeding_hours",2466835.94900136,0,2466835.94900136,0,"do"
"yearly_scabcontrol_hours",2468331.2834385,0,2468331.2834385,0,"do"
"yearly_insectcontrol_hours",2467744.51385153,0,2467744.51385153,0,"do"
"yearly_fertilization_hours",2466861.3308742,0,2466861.3308742,0,"do"
"yearly_vole_control_hours",2458952.58004408,0,2458952.58004408,0,"do"
